No.,message_name,message_id_hex,message_id_dec,dlc,transmitter,cycle_time,signal_name,start_bit,length,byte_order,signed_unsigned,factor,offset,min_value,max_value,unit,initial_value,invalid_value,description,Loại lỗi,Điều kiện kích hoạt,Ý nghĩa kỹ thuật,Mức độ ảnh hưởng,Gợi ý chẩn đoán
1,FCAM_TSR_STATUS,0x080,128,8,FCAM_I,,FCAM_TSR_Warning_audible,16,1,Motorola,Unsigned,1,0,0,1,-,,,,Cảnh báo,Khi camera phía trước phát hiện biển báo và cần cảnh báo tài xế,Cảnh báo từ hệ thống nhận diện biển báo giao thông,Trung bình - Cảnh báo an toàn,"Kiểm tra camera FCAM_I, kiểm tra kết nối CAN"
2,FCAM_TSR_STATUS,0x080,128,8,FCAM_I,,FCAM_TSR_Typ2_Flashing_Warning,34,1,Motorola,Unsigned,1,0,0,1,-,,,,Cảnh báo,Khi phát hiện trạng thái cảnh báo,Cảnh báo: FCAM_TSR_Typ2_Flashing_Warning,Trung bình,"Kiểm tra hệ thống liên quan, xem lại mã lỗi"
3,FCAM_TSR_STATUS,0x080,128,8,FCAM_I,,FCAM_TSR_AudWarning_Feed,39,3,Motorola,Unsigned,1,0,0,1,-,,,,Cảnh báo,Khi phát hiện trạng thái cảnh báo,Cảnh báo: FCAM_TSR_AudWarning_Feed,Trung bình,"Kiểm tra hệ thống liên quan, xem lại mã lỗi"
4,FCAM_TSR_STATUS,0x080,128,8,FCAM_I,,FCAM_TSR_Typ1_Flashing_Warning,33,1,Motorola,Unsigned,1,0,0,1,-,,,,Cảnh báo,Khi phát hiện trạng thái cảnh báo,Cảnh báo: FCAM_TSR_Typ1_Flashing_Warning,Trung bình,"Kiểm tra hệ thống liên quan, xem lại mã lỗi"
5,BCMFL_DoorStatus,0x0AA,170,8,CVC_I,,DoorAjarStatusFL,19,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi cửa không đóng kín hoặc không khóa hoàn toàn,Trạng thái cửa xe hở (không đóng kín),Trung bình - Cảnh báo người lái,"Kiểm tra cơ cấu cửa, rà cảm biến cửa"
6,BCMFL_DoorStatus,0x0AA,170,8,CVC_I,,BonnetAjarStatus,27,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi ca pô không đóng kín,Trạng thái nắp ca pô hở,Trung bình,Kiểm tra cơ cấu ca pô
7,BCMFL_DoorStatus,0x0AA,170,8,CVC_I,,DoorAjarStatusRL,31,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi cửa không đóng kín hoặc không khóa hoàn toàn,Trạng thái cửa xe hở (không đóng kín),Trung bình - Cảnh báo người lái,"Kiểm tra cơ cấu cửa, rà cảm biến cửa"
8,BCMFR_DoorStatus,0x0AB,171,8,CVC_I,,DoorAjarStatusFR,21,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi cửa không đóng kín hoặc không khóa hoàn toàn,Trạng thái cửa xe hở (không đóng kín),Trung bình - Cảnh báo người lái,"Kiểm tra cơ cấu cửa, rà cảm biến cửa"
9,BCMFR_DoorStatus,0x0AB,171,8,CVC_I,,DoorAjarStatusRR,25,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi cửa không đóng kín hoặc không khóa hoàn toàn,Trạng thái cửa xe hở (không đóng kín),Trung bình - Cảnh báo người lái,"Kiểm tra cơ cấu cửa, rà cảm biến cửa"
10,BCMRE_DoorStatus,0x0AC,172,8,CVC_I,,TailgateAjarStatus,17,2,Motorola,Unsigned,1,0,0,3,,,,,Trạng thái,Khi cốp sau không đóng kín,Trạng thái cốp sau hở,Trung bình,Kiểm tra cơ cấu cốp sau
